Learning Rate, Gamma, Reward 
0.1, 0.35, 20.0
0.1, 0.35, -542.0
0.1, 0.35, -46.0
0.1, 0.35, -53.0
0.1, 0.35, -197.0
0.1, 0.35, -225.0
0.1, 0.35, -45.0
0.1, 0.35, -76.0
0.1, 0.35, -27.0
0.1, 0.35, 20.0
0.1, 0.35, -160.0
0.1, 0.35, -25.0
0.1, 0.35, -367.0
0.1, 0.35, -75.0
0.1, 0.35, -45.0
0.1, 0.35, -15.0
0.1, 0.35, 10.0
0.1, 0.35, -68.0
0.1, 0.35, 28.0
0.1, 0.35, 27.0
0.1, 0.35, -284.0
0.1, 0.35, -61.0
0.1, 0.35, -58.0
0.1, 0.39999999999999997, -1097.0
0.1, 0.39999999999999997, -185.0
0.1, 0.39999999999999997, -494.0
0.1, 0.39999999999999997, -1009.0
0.1, 0.39999999999999997, -372.0
0.1, 0.39999999999999997, -2525.0
0.1, 0.39999999999999997, -593.0
0.1, 0.39999999999999997, -465.0
0.1, 0.39999999999999997, -736.0
0.1, 0.39999999999999997, -182.0
0.1, 0.39999999999999997, -189.0
0.1, 0.39999999999999997, -899.0
0.1, 0.39999999999999997, -151.0
0.1, 0.39999999999999997, -165.0
0.1, 0.39999999999999997, -458.0
0.1, 0.39999999999999997, -162.0
0.1, 0.39999999999999997, -1040.0
0.1, 0.39999999999999997, -100.0
0.1, 0.39999999999999997, -304.0
0.1, 0.39999999999999997, -66.0
0.1, 0.39999999999999997, -176.0
0.1, 0.39999999999999997, -1182.0
0.1, 0.39999999999999997, -143.0
0.1, 0.39999999999999997, -742.0
0.1, 0.39999999999999997, -290.0
0.1, 0.39999999999999997, -51.0
0.1, 0.39999999999999997, -396.0
0.1, 0.39999999999999997, -779.0
0.1, 0.39999999999999997, -145.0
0.1, 0.39999999999999997, -278.0
0.1, 0.39999999999999997, -819.0
0.1, 0.39999999999999997, -117.0
0.1, 0.39999999999999997, -166.0
0.1, 0.39999999999999997, -807.0
0.1, 0.39999999999999997, -301.0
0.1, 0.39999999999999997, -715.0
0.1, 0.39999999999999997, -232.0
0.1, 0.39999999999999997, -221.0
0.1, 0.39999999999999997, -180.0
0.1, 0.39999999999999997, -125.0
0.1, 0.39999999999999997, -54.0
0.1, 0.39999999999999997, -112.0
0.1, 0.39999999999999997, 0.0
0.1, 0.39999999999999997, -91.0
0.1, 0.39999999999999997, -612.0
0.1, 0.39999999999999997, -5.0
0.1, 0.39999999999999997, -98.0
0.1, 0.39999999999999997, -276.0
0.1, 0.39999999999999997, -102.0
0.1, 0.39999999999999997, -185.0
0.1, 0.39999999999999997, -139.0
0.1, 0.39999999999999997, -95.0
0.1, 0.39999999999999997, -63.0
0.1, 0.39999999999999997, 12.0
0.1, 0.39999999999999997, -195.0
0.1, 0.39999999999999997, -132.0
0.1, 0.39999999999999997, -173.0
0.1, 0.39999999999999997, -47.0
0.1, 0.39999999999999997, -305.0
0.1, 0.39999999999999997, -49.0
0.1, 0.39999999999999997, -137.0
0.1, 0.39999999999999997, -164.0
0.1, 0.39999999999999997, -678.0
0.1, 0.39999999999999997, -208.0
0.1, 0.39999999999999997, -32.0
0.1, 0.39999999999999997, -116.0
0.1, 0.39999999999999997, -1015.0
0.1, 0.39999999999999997, -2.0
0.1, 0.39999999999999997, -84.0
0.1, 0.39999999999999997, -5.0
0.1, 0.39999999999999997, -20.0
0.1, 0.39999999999999997, -35.0
0.1, 0.39999999999999997, -363.0
0.1, 0.39999999999999997, -101.0
0.1, 0.39999999999999997, -77.0
0.1, 0.39999999999999997, -62.0
0.1, 0.39999999999999997, -31.0
0.1, 0.39999999999999997, -41.0
0.1, 0.39999999999999997, 40.0
0.1, 0.39999999999999997, 7.0
0.1, 0.39999999999999997, 51.0
0.1, 0.39999999999999997, 17.0
0.1, 0.39999999999999997, -1.0
0.1, 0.39999999999999997, -526.0
0.1, 0.39999999999999997, -44.0
0.1, 0.39999999999999997, 13.0
0.1, 0.39999999999999997, -2.0
0.1, 0.39999999999999997, -81.0
0.1, 0.39999999999999997, 3.0
0.1, 0.39999999999999997, 16.0
0.1, 0.39999999999999997, -4.0
0.1, 0.39999999999999997, -160.0
